lat,lon,pressure_qc,pressure,temp_qc,temp,salinity_qc,salinity
-17.4996,-170.0011,2.0,8.5,2.0,26.7583,2.0,35.4342
-17.4996,-170.0011,2.0,9.0,2.0,26.7587,2.0,35.4339
-17.4996,-170.0011,2.0,10.0,2.0,26.7592,2.0,35.4339
-17.4996,-170.0011,2.0,11.0,6.0,26.7594,6.0,35.4338
-17.4996,-170.0011,2.0,12.0,6.0,26.7591,6.0,35.4338
-17.4996,-170.0011,2.0,13.0,6.0,26.7591,6.0,35.4339
-17.4996,-170.0011,2.0,14.0,6.0,26.7594,6.0,35.4339
-17.4996,-170.0011,2.0,15.0,6.0,26.7597,6.0,35.4339
-17.4996,-170.0011,2.0,16.0,6.0,26.76,6.0,35.4339
-17.4996,-170.0011,2.0,17.0,2.0,26.7602,2.0,35.4339
-17.4996,-170.0011,2.0,18.0,6.0,26.7609,6.0,35.434
-17.4996,-170.0011,2.0,19.0,2.0,26.7623,2.0,35.4339
-17.4996,-170.0011,2.0,20.0,6.0,26.7617,6.0,35.4338
-17.4996,-170.0011,2.0,21.0,6.0,26.7618,6.0,35.4339
-17.4996,-170.0011,2.0,22.0,6.0,26.7617,6.0,35.434
-17.4996,-170.0011,2.0,23.0,6.0,26.7613,6.0,35.4342
-17.4996,-170.0011,2.0,24.0,6.0,26.7608,6.0,35.4344
-17.4996,-170.0011,2.0,25.0,2.0,26.7616,2.0,35.4344
-17.4996,-170.0011,2.0,26.0,2.0,26.7621,2.0,35.4343
-17.4996,-170.0011,2.0,27.0,2.0,26.7637,2.0,35.4342
-17.4996,-170.0011,2.0,28.0,2.0,26.7642,2.0,35.4342
-17.4996,-170.0011,2.0,29.0,2.0,26.7627,2.0,35.4343
-17.4996,-170.0011,2.0,30.0,2.0,26.7624,2.0,35.4343
-17.4996,-170.0011,2.0,31.0,2.0,26.7614,2.0,35.4338
-17.4996,-170.0011,2.0,32.0,2.0,26.7464,2.0,35.4322
-17.4996,-170.0011,2.0,33.0,2.0,26.7118,2.0,35.4302
-17.4996,-170.0011,2.0,34.0,2.0,26.6177,6.0,35.4318
-17.4996,-170.0011,2.0,35.0,2.0,26.5698,2.0,35.4365
-17.4996,-170.0011,2.0,36.0,2.0,26.565,2.0,35.4373
-17.4996,-170.0011,2.0,37.0,6.0,26.5615,6.0,35.4376
-17.4996,-170.0011,2.0,38.0,2.0,26.558,2.0,35.438
-17.4996,-170.0011,2.0,39.0,6.0,26.5517,6.0,35.4391
-17.4996,-170.0011,2.0,40.0,2.0,26.5421,2.0,35.4416
-17.4996,-170.0011,2.0,41.0,6.0,26.533,6.0,35.4449
-17.4996,-170.0011,2.0,42.0,6.0,26.5276,6.0,35.4466
-17.4996,-170.0011,2.0,43.0,6.0,26.5225,6.0,35.4481
-17.4996,-170.0011,2.0,44.0,2.0,26.5014,2.0,35.4577
-17.4996,-170.0011,2.0,45.0,6.0,26.4773,6.0,35.4728
-17.4996,-170.0011,2.0,46.0,6.0,26.4747,6.0,35.475
-17.4996,-170.0011,2.0,47.0,6.0,26.4716,6.0,35.4774
-17.4996,-170.0011,2.0,48.0,6.0,26.4686,6.0,35.4797
-17.4996,-170.0011,2.0,49.0,2.0,26.4661,2.0,35.4816
-17.4996,-170.0011,2.0,50.0,2.0,26.4642,2.0,35.4828
-17.4996,-170.0011,2.0,51.0,2.0,26.4636,2.0,35.4833
-17.4996,-170.0011,2.0,52.0,2.0,26.4625,2.0,35.4844
-17.4996,-170.0011,2.0,53.0,2.0,26.4617,2.0,35.4852
-17.4996,-170.0011,2.0,54.0,2.0,26.4619,2.0,35.4852
-17.4996,-170.0011,2.0,55.0,2.0,26.462,2.0,35.4852
-17.4996,-170.0011,2.0,56.0,2.0,26.4616,2.0,35.486
-17.4996,-170.0011,2.0,57.0,2.0,26.4613,2.0,35.4865
-17.4996,-170.0011,2.0,58.0,2.0,26.4616,2.0,35.4865
