lat,lon,pressure_qc,pressure,temp_qc,temp,salinity_qc,salinity
-20.0033,-170.0013,2.0,0.0,5.0,,5.0,
-20.0033,-170.0013,2.0,2.0,5.0,,5.0,
-20.0033,-170.0013,2.0,4.0,2.0,28.2691,2.0,34.9488
-20.0033,-170.0013,2.0,6.0,2.0,28.2708,2.0,34.9489
-20.0033,-170.0013,2.0,8.0,2.0,28.2694,2.0,34.949
-20.0033,-170.0013,2.0,10.0,2.0,28.2703,2.0,34.949
-20.0033,-170.0013,2.0,12.0,2.0,28.2724,2.0,34.949
-20.0033,-170.0013,2.0,14.0,2.0,28.2689,2.0,34.9492
-20.0033,-170.0013,2.0,16.0,2.0,28.2327,2.0,34.9512
-20.0033,-170.0013,2.0,18.0,2.0,28.1718,2.0,34.9613
-20.0033,-170.0013,2.0,20.0,2.0,28.1571,2.0,34.9641
-20.0033,-170.0013,2.0,22.0,2.0,28.1496,2.0,34.9638
-20.0033,-170.0013,2.0,24.0,2.0,28.1455,2.0,34.9638
-20.0033,-170.0013,2.0,26.0,2.0,28.141,2.0,34.965
-20.0033,-170.0013,2.0,28.0,2.0,28.1352,2.0,34.9677
-20.0033,-170.0013,2.0,30.0,2.0,28.1142,2.0,34.9739
-20.0033,-170.0013,2.0,32.0,2.0,28.0721,2.0,34.9852
-20.0033,-170.0013,2.0,34.0,2.0,27.8935,2.0,35.0821
-20.0033,-170.0013,2.0,36.0,2.0,27.6505,2.0,35.117
-20.0033,-170.0013,2.0,38.0,2.0,27.5163,2.0,35.1045
-20.0033,-170.0013,2.0,40.0,2.0,27.4874,2.0,35.1294
-20.0033,-170.0013,2.0,42.0,2.0,27.2543,2.0,35.1408
-20.0033,-170.0013,2.0,44.0,2.0,26.7682,2.0,35.1133
-20.0033,-170.0013,2.0,46.0,2.0,26.5193,2.0,35.1319
-20.0033,-170.0013,2.0,48.0,2.0,26.2433,2.0,35.1635
-20.0033,-170.0013,2.0,50.0,2.0,25.9353,2.0,35.2049
-20.0033,-170.0013,2.0,52.0,2.0,25.7127,2.0,35.2238
-20.0033,-170.0013,2.0,54.0,2.0,25.48,2.0,35.2582
-20.0033,-170.0013,2.0,56.0,2.0,25.4181,2.0,35.2645
-20.0033,-170.0013,2.0,58.0,2.0,25.3065,2.0,35.2806
-20.0033,-170.0013,2.0,60.0,2.0,25.1872,2.0,35.287
-20.0033,-170.0013,2.0,62.0,2.0,25.1027,2.0,35.2902
-20.0033,-170.0013,2.0,64.0,2.0,25.0522,2.0,35.2922
-20.0033,-170.0013,2.0,66.0,2.0,24.9887,2.0,35.2935
-20.0033,-170.0013,2.0,68.0,2.0,24.8948,2.0,35.2961
-20.0033,-170.0013,2.0,70.0,2.0,24.8504,2.0,35.2985
-20.0033,-170.0013,2.0,72.0,2.0,24.7795,2.0,35.3041
-20.0033,-170.0013,2.0,74.0,2.0,24.5904,2.0,35.3228
-20.0033,-170.0013,2.0,76.0,2.0,24.4172,2.0,35.3535
-20.0033,-170.0013,2.0,78.0,2.0,24.3465,2.0,35.3775
-20.0033,-170.0013,2.0,80.0,2.0,24.2784,2.0,35.3869
-20.0033,-170.0013,2.0,82.0,2.0,24.2185,2.0,35.3906
-20.0033,-170.0013,2.0,84.0,2.0,24.0995,2.0,35.3746
-20.0033,-170.0013,2.0,86.0,2.0,23.9617,2.0,35.3534
-20.0033,-170.0013,2.0,88.0,2.0,23.8763,2.0,35.3508
