# latitude: -2.4867, longitude: -168.7646, year: 2009, month: 3, day: 13, cruise: 3871, uid: 11958782
z,z_level_qc,z_unc,t,t_level_qc,t_unc,s,s_level_qc,s_unc,oxygen,phosphate,silicate,pH,p
9.94,0,,27.2487,0,,35.2516,0,,204.7,,,,10.0
11.93,0,,27.2108,0,,35.2506,0,,205.2,,,,12.0
13.92,0,,27.1386,0,,35.2487,0,,205.4,,,,14.0
15.91,0,,27.0733,0,,35.247,0,,205.5,,,,16.0
17.9,0,,26.9889,0,,35.2446,0,,205.9,,,,18.0
19.89,0,,26.9524,0,,35.2436,0,,206.2,,,,20.0
21.88,0,,26.9389,0,,35.2439,0,,206.4,,,,22.0
23.87,0,,26.9312,0,,35.2436,0,,206.2,,,,24.0
25.86,0,,26.9232,0,,35.2439,0,,206.0,,,,26.0
27.84,0,,26.9163,0,,35.2443,0,,206.0,,,,28.0
29.83,0,,26.9097,0,,35.2445,0,,206.3,,,,30.0
31.82,0,,26.9048,0,,35.2446,0,,206.3,,,,32.0
33.81,0,,26.8903,0,,35.245,0,,205.9,,,,34.0
35.8,0,,26.8809,0,,35.2447,0,,205.3,,,,36.0
37.79,0,,26.877,0,,35.2445,0,,205.6,,,,38.0
39.78,0,,26.8738,0,,35.2447,0,,205.6,,,,40.0
41.76,0,,26.8705,0,,35.2462,0,,205.8,,,,42.0
43.75,0,,26.8712,0,,35.247,0,,205.7,,,,44.0
45.74,0,,26.8681,0,,35.2489,0,,205.7,,,,46.0
47.73,0,,26.864,0,,35.254,0,,205.4,,,,48.0
49.72,0,,26.8646,0,,35.257,0,,205.2,,,,50.0
51.71,0,,26.8656,0,,35.2581,0,,204.8,,,,52.0
53.7,0,,26.8698,0,,35.2609,0,,204.7,,,,54.0
55.68,0,,26.878,0,,35.2666,0,,204.6,,,,56.0
57.67,0,,26.8845,0,,35.271,0,,204.2,,,,58.0
59.66,0,,26.8913,0,,35.2749,0,,204.4,,,,60.0
61.65,0,,26.911,0,,35.2858,0,,204.1,,,,62.0
63.64,0,,26.9204,0,,35.2906,0,,203.6,,,,64.0
65.63,0,,26.9268,0,,35.2934,0,,203.3,,,,66.0
67.61,0,,26.9463,0,,35.3033,0,,203.5,,,,68.0
69.6,0,,26.96,0,,35.3105,0,,203.0,,,,70.0
71.59,0,,26.9691,0,,35.3147,0,,202.5,,,,72.0
73.58,0,,26.9991,0,,35.3323,0,,202.5,,,,74.0
75.57,0,,27.0713,0,,35.3752,0,,202.2,,,,76.0
77.56,0,,27.1114,0,,35.3976,0,,201.0,,,,78.0
79.54,0,,27.1629,0,,35.4289,0,,199.9,,,,80.0
81.53,0,,27.1971,0,,35.4537,0,,198.9,,,,82.0
83.52,0,,27.1933,0,,35.4809,0,,197.5,,,,84.0
85.51,0,,27.1647,0,,35.4931,0,,195.9,,,,86.0
87.5,0,,27.1487,0,,35.5042,0,,194.7,,,,88.0
89.49,0,,27.1302,0,,35.5297,0,,194.0,,,,90.0
91.47,0,,27.0809,0,,35.5338,0,,192.9,,,,92.0
93.46,0,,27.0411,0,,35.5352,0,,191.6,,,,94.0
95.45,0,,26.9854,0,,35.5294,0,,190.2,,,,96.0
97.44,0,,26.9659,0,,35.5288,0,,190.0,,,,98.0
99.43,0,,26.9507,0,,35.5293,0,,189.9,,,,100.0
101.41,0,,26.8968,0,,35.5249,0,,189.0,,,,102.0
103.4,0,,26.7813,0,,35.5163,0,,189.2,,,,104.0
105.39,0,,26.6823,0,,35.4977,0,,188.2,,,,106.0
107.38,0,,26.6091,0,,35.4799,0,,187.7,,,,108.0
109.37,0,,26.5618,0,,35.468,0,,188.1,,,,110.0
111.35,0,,26.525,0,,35.46,0,,188.7,,,,112.0
113.34,0,,26.4994,0,,35.4536,0,,189.1,,,,114.0
115.33,0,,26.4419,0,,35.4438,0,,189.7,,,,116.0
117.32,0,,26.3924,0,,35.4387,0,,189.8,,,,118.0
119.3,0,,26.3782,0,,35.4371,0,,189.5,,,,120.0
121.29,0,,26.3685,0,,35.4356,0,,189.4,,,,122.0
123.28,0,,26.3124,0,,35.4254,0,,189.4,,,,124.0
125.27,0,,26.2562,0,,35.4177,0,,189.0,,,,126.0
127.26,0,,26.2105,0,,35.4091,0,,189.3,,,,128.0
129.24,0,,26.1187,0,,35.3981,0,,189.1,,,,130.0
131.23,0,,26.0523,0,,35.3924,0,,188.4,,,,132.0
133.22,0,,26.0428,0,,35.3954,0,,187.9,,,,134.0
135.21,0,,26.0206,0,,35.4317,0,,187.5,,,,136.0
137.19,0,,25.981,0,,35.4623,0,,185.8,,,,138.0
139.18,0,,25.9386,0,,35.4997,0,,183.5,,,,140.0
141.17,0,,25.8609,0,,35.5017,0,,181.2,,,,142.0
143.16,0,,25.7527,0,,35.4793,0,,180.3,,,,144.0
145.15,0,,25.6712,0,,35.4641,0,,179.8,,,,146.0
147.13,0,,25.5545,0,,35.4434,0,,179.9,,,,148.0
149.12,0,,25.2809,0,,35.4195,0,,180.6,,,,150.0
151.11,0,,24.9661,0,,35.4738,0,,180.2,,,,152.0
153.1,0,,24.7855,0,,35.5668,0,,176.4,,,,154.0
155.08,0,,24.7856,0,,35.6897,0,,172.2,,,,156.0
157.07,0,,24.719,0,,35.8479,0,,168.5,,,,158.0
159.06,0,,24.4116,0,,35.8765,0,,164.6,,,,160.0
161.05,0,,23.9434,0,,35.935,0,,161.6,,,,162.0
163.03,0,,23.748,0,,35.9661,0,,156.3,,,,164.0
165.02,0,,23.2988,0,,35.9679,0,,153.8,,,,166.0
167.01,0,,22.8011,0,,35.938,0,,150.3,,,,168.0
168.99,0,,22.56,0,,35.9116,0,,146.3,,,,170.0
170.98,0,,22.244,0,,35.8669,0,,144.8,,,,172.0
172.97,0,,21.7373,0,,35.8167,0,,143.6,,,,174.0
174.96,0,,21.249,0,,35.7601,0,,141.9,,,,176.0
176.94,0,,20.3401,0,,35.6634,0,,140.0,,,,178.0
178.93,0,,19.7048,0,,35.6082,0,,134.2,,,,180.0
180.92,0,,19.0472,0,,35.5438,0,,129.3,,,,182.0
182.91,0,,18.1932,0,,35.4678,0,,125.5,,,,184.0
184.89,0,,17.5492,0,,35.4237,0,,119.0,,,,186.0
186.88,0,,17.173,0,,35.4022,0,,113.7,,,,188.0
188.87,0,,16.8938,0,,35.3762,0,,109.7,,,,190.0
190.85,0,,16.7321,0,,35.3608,0,,108.2,,,,192.0
192.84,0,,16.5713,0,,35.3441,0,,106.3,,,,194.0
194.83,0,,16.2829,0,,35.3088,0,,105.3,,,,196.0
196.82,0,,16.0706,0,,35.2997,0,,103.8,,,,198.0
198.8,0,,16.0219,0,,35.2923,0,,101.9,,,,200.0
200.79,0,,15.8887,0,,35.2764,0,,100.9,,,,202.0
202.78,0,,15.7795,0,,35.2642,0,,100.1,,,,204.0
204.76,0,,15.6133,0,,35.2469,0,,99.8,,,,206.0
206.75,0,,15.5506,0,,35.2435,0,,98.8,,,,208.0
208.74,0,,15.515,0,,35.2383,0,,98.1,,,,210.0
210.73,0,,15.4577,0,,35.2305,0,,97.7,,,,212.0
212.71,0,,15.2795,0,,35.2078,0,,97.5,,,,214.0
214.7,0,,14.8165,0,,35.1575,0,,97.7,,,,216.0
216.69,0,,14.2149,0,,35.116,0,,97.1,,,,218.0
218.67,0,,14.0319,0,,35.1114,0,,94.9,,,,220.0
220.66,0,,13.8716,0,,35.0959,0,,93.6,,,,222.0
222.65,0,,13.7748,0,,35.0858,0,,93.1,,,,224.0
224.63,0,,13.742,0,,35.0808,0,,92.5,,,,226.0
226.62,0,,13.643,0,,35.0673,0,,92.3,,,,228.0
228.61,0,,13.3981,0,,35.044,0,,92.3,,,,230.0
230.59,0,,13.2194,0,,35.032,0,,91.8,,,,232.0
232.58,0,,12.921,0,,35.0056,0,,91.6,,,,234.0
234.57,0,,12.8027,0,,35.001,0,,91.3,,,,236.0
236.55,0,,12.7331,0,,34.9945,0,,92.6,,,,238.0
238.54,0,,12.6768,0,,34.988,0,,94.2,,,,240.0
240.53,0,,12.5477,0,,34.9734,0,,95.0,,,,242.0
242.51,0,,12.3811,0,,34.9597,0,,96.0,,,,244.0
244.5,0,,12.2427,0,,34.9487,0,,96.4,,,,246.0
246.49,0,,12.1094,0,,34.9384,0,,96.5,,,,248.0
248.47,0,,11.9335,0,,34.9217,0,,96.6,,,,250.0
250.46,0,,11.7979,0,,34.91,0,,96.4,,,,252.0
252.45,0,,11.7289,0,,34.9034,0,,96.8,,,,254.0
254.43,0,,11.6555,0,,34.8948,0,,96.8,,,,256.0
256.42,0,,11.4897,0,,34.8796,0,,97.7,,,,258.0
258.41,0,,11.2619,0,,34.8588,0,,100.6,,,,260.0
260.39,0,,11.1457,0,,34.8504,0,,102.8,,,,262.0
262.38,0,,11.0416,0,,34.839,0,,102.8,,,,264.0
264.37,0,,10.9953,0,,34.8357,0,,102.1,,,,266.0
266.35,0,,10.9695,0,,34.8315,0,,101.7,,,,268.0
268.34,0,,10.9533,0,,34.8277,0,,101.4,,,,270.0
270.33,0,,10.9254,0,,34.8241,0,,101.3,,,,272.0
272.31,0,,10.8796,0,,34.819,0,,101.2,,,,274.0
274.3,0,,10.8249,0,,34.815,0,,101.1,,,,276.0
276.28,0,,10.8149,0,,34.8139,0,,100.9,,,,278.0
278.27,0,,10.8013,0,,34.812,0,,100.6,,,,280.0
280.26,0,,10.7647,0,,34.8083,0,,100.5,,,,282.0
282.24,0,,10.7556,0,,34.8078,0,,100.3,,,,284.0
284.23,0,,10.7541,0,,34.8071,0,,100.2,,,,286.0
286.22,0,,10.7474,0,,34.8053,0,,100.1,,,,288.0
288.2,0,,10.6726,0,,34.7975,0,,99.9,,,,290.0
290.19,0,,10.6197,0,,34.7942,0,,99.6,,,,292.0
292.17,0,,10.5943,0,,34.7916,0,,99.5,,,,294.0
294.16,0,,10.5909,0,,34.7905,0,,99.7,,,,296.0
296.15,0,,10.5889,0,,34.7895,0,,100.0,,,,298.0
298.13,0,,10.5718,0,,34.786,0,,100.3,,,,300.0
300.12,0,,10.4894,0,,34.7768,0,,100.6,,,,302.0
302.1,0,,10.4539,0,,34.7773,0,,100.6,,,,304.0
304.09,0,,10.4453,0,,34.7767,0,,100.9,,,,306.0
306.08,0,,10.42,0,,34.7735,0,,101.4,,,,308.0
308.06,0,,10.3883,0,,34.7702,0,,101.4,,,,310.0
310.05,0,,10.3363,0,,34.7646,0,,100.8,,,,312.0
312.03,0,,10.2653,0,,34.7607,0,,99.6,,,,314.0
314.02,0,,10.2511,0,,34.76,0,,98.2,,,,316.0
316.01,0,,10.2502,0,,34.7596,0,,97.1,,,,318.0
317.99,0,,10.2503,0,,34.7589,0,,96.4,,,,320.0
319.98,0,,10.2273,0,,34.7572,0,,96.4,,,,322.0
321.96,0,,10.2081,0,,34.7577,0,,96.1,,,,324.0
323.95,0,,10.1743,0,,34.7554,0,,95.7,,,,326.0
325.94,0,,10.1395,0,,34.7535,0,,,,,,328.0
327.92,0,,10.1167,0,,34.7522,0,,90.1,,,,330.0
329.91,0,,10.1087,0,,34.7516,0,,90.0,,,,332.0
