# latitude: 0.0, longitude: -167.302, year: 2023, month: 5, day: 15, cruise: 13239, uid: 22288039
z,z_level_qc,z_unc,t,t_level_qc,t_unc,s,s_level_qc,s_unc,oxygen,phosphate,silicate,pH,p
15.0,0,,28.5,0,,35.33,0,,,,,,
20.0,0,,28.45,0,,35.35,0,,,,,,
25.0,0,,28.38,0,,35.36,0,,,,,,
30.0,0,,28.31,0,,35.36,0,,,,,,
35.0,0,,28.26,0,,35.36,0,,,,,,
40.0,0,,28.21,0,,35.36,0,,,,,,
45.0,0,,28.18,0,,35.36,0,,,,,,
50.0,0,,28.16,0,,35.37,0,,,,,,
55.0,0,,28.15,0,,35.38,0,,,,,,
60.0,0,,28.14,0,,35.42,0,,,,,,
65.0,0,,28.06,0,,35.48,0,,,,,,
70.0,0,,27.89,0,,35.51,0,,,,,,
75.0,0,,27.78,0,,35.52,0,,,,,,
80.0,0,,27.49,0,,35.5,0,,,,,,
85.0,0,,27.44,0,,35.51,0,,,,,,
89.0,0,,27.43,0,,35.52,0,,,,,,
94.0,0,,27.41,0,,35.52,0,,,,,,
99.0,0,,27.27,0,,35.52,0,,,,,,
104.0,0,,27.08,0,,35.54,0,,,,,,
109.0,0,,26.96,0,,35.58,0,,,,,,
114.0,0,,26.6,0,,35.61,0,,,,,,
119.0,0,,26.41,0,,35.63,0,,,,,,
124.0,0,,25.82,0,,35.73,0,,,,,,
129.0,0,,25.55,0,,35.77,0,,,,,,
134.0,0,,24.86,0,,35.75,0,,,,,,
139.0,0,,23.35,0,,35.63,0,,,,,,
144.0,0,,20.72,0,,35.47,0,,,,,,
149.0,0,,19.69,0,,35.44,0,,,,,,
154.0,0,,19.3,0,,35.48,0,,,,,,
159.0,0,,17.3,0,,35.19,0,,,,,,
164.0,0,,16.28,0,,35.05,0,,,,,,
169.0,0,,16.4,0,,35.17,0,,,,,,
174.0,0,,15.97,0,,35.18,0,,,,,,
179.0,0,,14.3,0,,34.96,0,,,,,,
184.0,0,,13.84,0,,35.0,0,,,,,,
189.0,0,,13.65,0,,34.98,0,,,,,,
194.0,0,,13.39,0,,34.96,0,,,,,,
199.0,0,,13.15,0,,34.96,0,,,,,,
204.0,0,,12.99,0,,34.96,0,,,,,,
209.0,0,,12.89,0,,34.95,0,,,,,,
214.0,0,,12.76,0,,34.94,0,,,,,,
219.0,0,,12.63,0,,34.93,0,,,,,,
224.0,0,,12.53,0,,34.92,0,,,,,,
229.0,0,,12.42,0,,34.91,0,,,,,,
234.0,0,,12.35,0,,34.9,0,,,,,,
239.0,0,,12.28,0,,34.89,0,,,,,,
244.0,0,,12.12,0,,34.88,0,,,,,,
248.0,0,,12.05,0,,34.87,0,,,,,,
253.0,0,,11.97,0,,34.86,0,,,,,,
258.0,0,,11.77,0,,34.84,0,,,,,,
263.0,0,,11.45,0,,34.82,0,,,,,,
268.0,0,,11.29,0,,34.81,0,,,,,,
273.0,0,,11.25,0,,34.81,0,,,,,,
278.0,0,,11.21,0,,34.81,0,,,,,,
283.0,0,,11.17,0,,34.8,0,,,,,,
288.0,0,,11.13,0,,34.8,0,,,,,,
293.0,0,,11.08,0,,34.79,0,,,,,,
298.0,0,,11.01,0,,34.79,0,,,,,,
303.0,0,,10.92,0,,34.78,0,,,,,,
313.0,0,,10.78,0,,34.77,0,,,,,,
323.0,0,,10.62,0,,34.77,0,,,,,,
333.0,0,,10.54,0,,34.76,0,,,,,,
343.0,0,,10.48,0,,34.76,0,,,,,,
353.0,0,,10.39,0,,34.75,0,,,,,,
363.0,0,,10.34,0,,34.74,0,,,,,,
373.0,0,,10.27,0,,34.74,0,,,,,,
383.0,0,,9.99,0,,34.72,0,,,,,,
392.0,0,,9.84,0,,34.71,0,,,,,,
402.0,0,,9.77,0,,34.71,0,,,,,,
412.0,0,,9.21,0,,34.69,0,,,,,,
422.0,0,,8.43,0,,34.65,0,,,,,,
432.0,0,,8.3,0,,34.64,0,,,,,,
442.0,0,,8.19,0,,34.63,0,,,,,,
452.0,0,,8.06,0,,34.62,0,,,,,,
462.0,0,,8.01,0,,34.61,0,,,,,,
472.0,0,,7.97,0,,34.61,0,,,,,,
482.0,0,,7.92,0,,34.61,0,,,,,,
492.0,0,,7.79,0,,34.6,0,,,,,,
